oglas_id,naselje,kvadratura_m2,sprat,broj_soba,godina_izgradnje,stanje,balkon,parking,cijena_km,datum_oglasa
72585721,Šićki Brod,52.0,7.0,2.0,1997.0,Renoviran,da,da,154500.0,09.09.2026
75840979,Kreka,50.0,5.0,2.0,2017.0,Dobro stanje,da,ne,249100.0,23.08.2026
76684545,Slavinovići - Tuzla,34.0,8.0,1.0,,Namješten,da,da,141900.0,21.04.2026
75812469,Mejdan,32.0,7.0,1.0,,Renoviran,da,da,181000.0,08.09.2026
72631324,Brčanska Malta,61.0,2.0,2.5,,Potrebna renovacija,da,ne,246400.0,03.07.2026
70649467,Simin Han,37.0,,1.5,,Potrebna renovacija,da,ne,83600.0,16.05.2026
70660149,Brčanska Malta,103.0,8.0,4.0,2006.0,Nov,da,ne,513000.0,06.09.2026
74964174,Centar,59.0,10.0,2.5,2006.0,Renoviran,da,ne,260500.0,05.08.2026
79000000,Kreka,72.0,9.0,2.0,2002.0,Potrebna renovacija,da,ne,244800.0,12.07.2026
75671093,Solina,86.0,9.0,3.0,1990.0,Renoviran,da,ne,436700.0,12.09.2026
71453376,Dragodol,35m2,4.0,1.0,,Nov,ne,ne,187600.0,02.06.2026
78118814,CENTAR,73.0,7.0,3.0,,Renoviran,da,ne,"390,900",02.05.2026
70843448,Centar,79.0,10.0,3.0,1974.0,Nenamješten,da,ne,448 900,13.08.2026
79119875,Šićki Brod,75.0,3.0,2.5,1983.0,Potrebna renovacija,da,da,174800.0,18.05.2026
70901369,Brčanska Malta,57.0,8.0,2.0,1991.0,Useljivo,da,ne,241300.0,15.09.2026
70405877,Sjenjak,48.0,4.0,2.0,,Namješten,ne,ne,215300.0,05.07.2026
74630808,Slavinovići,33.0,,1.0,,Renoviran,da,da,207500.0,25.05.2026
79479538, Zlokovac ,59.0,9.0,2.0,1980.0,Potrebna renovacija,da,ne,152100.0,01.05.2026
71253539,Slavinovići,50.0,Prizemlje,3.0,2015.0,Namješten,da,da,241900.0,08.08.2026
73779623,Kreka,46m2,3.0,1.5,1988.0,Namješten,da,da,235000.0,31.07.2026
79000001,Gornja Tuzla,32.0,4.0,1.0,1998.0,Useljivo,da,da,98100.0,23.08.2026
75193138,Slavinovići,62.0,10.0,2.0,2003.0,Nov,da,ne,290500.0,12.05.2026
79473197,Sjenjak,38.0,10.0,1.0,,Useljivo,da,da,153400.0,17.06.2026
70482758,Centar,79.0,3.0,3.0,,Nov,da,ne,536900.0,10.09.2026
79000005,gornja tuzla,112.0,5.0,5.0,,Potrebna renovacija,da,ne,305900.0,16.09.2026
71817295,Centar - Tuzla,49.0,0.0,2.0,1976.0,Dobro stanje,da,ne,284.400 KM,25.06.2026
75780171,Sjenjak,128.0,2.0,5.0,2003.0,Renoviran,da,ne,694400.0,04.07.2026
75277009,Zlokovac,89.0,Prizemlje,3.0,,Potrebna renovacija,da,ne,211700.0,02.04.2026
79139244,Mejdan,78.0,2.0,2.5,,Potrebna renovacija,ne,da,313800.0,30.06.2026
72596574, Dragodol ,43.0,6.0,1.5,,Renoviran,da,da,190900.0,08.09.2026
72948844,Centar,49.0,6.0,2.0,1980.0,Renoviran,ne,da,324 500,07.09.2026
75335645,Slavinovići,72.0,5.0,3.0,1968.0,Dobro stanje,da,da,368100.0,14.06.2026
77199267,Slavinovići,29.0,10.0,1.0,1966.0,Namješten,da,da,158200.0,26.08.2026
76403320,Kreka,50.0,4.0,2.0,2009.0,Dobro stanje,ne,da,226300.0,30.08.2026
75401418, Kreka ,66.0,10.0,3.0,1992.0,Nov,da,ne,297000.0,25.06.2026
79529755,Šićki Brod,41.0,4.0,1.0,2017.0,Dobro stanje,da,ne,128200.0,24.08.2026
79000008,Miladije - Tuzla,47.0,0.0,2.0,,Namješten,da,ne,223400.0,01.06.2026
76950633,Solina,53.0,2.0,2.0,,Potrebna renovacija,da,da,188500.0,19.07.2026
77985257,Zlokovac,126.0,4.0,5.0,2013.0,Useljivo,da,da,638000.0,04.06.2026
70218777,Centar,48.0,6.0,2.0,,Potrebna renovacija,ne,da,198.700 KM,04.08.2026
75640717,Mejdan,38.0,8.0,1.0,2003.0,Nenamješten,ne,ne,185800.0,11.04.2026
72407530,Centar,63.0,2.0,3.0,,Dobro stanje,ne,ne,344000.0,29.07.2026
71460391,Stupine,76.0,10.0,3.0,2014.0,Useljivo,da,da,1,21.06.2026
72954877,Kreka,75.0,1.0,2.5,,Potrebna renovacija,da,da,266900.0,17.04.2026
76811882,Zlokovac,64.0,3.0,2.0,1975.0,Useljivo,da,da,282800.0,03.07.2026
73386955,slavinovići,39.0,2.0,1.0,1967.0,Useljivo,da,da,167700.0,18.04.2026
77173267,Centar,28.0,5.0,1.0,1990-1999,Useljivo,ne,da,174400.0,19.08.2026
72336532,Brčanska Malta,66m2,,3.0,2010 do 2019,Namješten,da,da,386200.0,07.05.2026
76600896,Slavinovići,63.0,Prizemlje,2.5,,Useljivo,da,ne,301600.0,06.09.2026
70563299,Solina,65m2,8.0,3.0,,Useljivo,da,ne,213 800,20.07.2026
71185604,Mejdan,59.0,5.0,2.0,1850,Nenamješten,ne,da,288500.0,26.04.2026
75688337,Centar,99.0,2.0,4.0,1983.0,Useljivo,da,ne,501700.0,23.03.2026
75863883,Mejdan,83.0,1.0,3.0,,Nenamješten,da,ne,456.300 KM,09.07.2026
77278808,Bukinje,61.0,9.0,2.0,1987.0,Renoviran,da,da,258900.0,16.06.2026
75999745,Centar,64.0,3.0,2.5,1972.0,Potrebna renovacija,ne,ne,227200.0,10.04.2026
79734057,Brčanska Malta,64.0,7.0,2.0,,Renoviran,da,ne,"419,800",22.08.2026
79000004,Centar,51.0,8.0,2.0,,Useljivo,ne,da,268300.0,11.04.2026
78624782,Bukinje,74.0,3.0,3.0,1990.0,Namješten,ne,ne,212700.0,14.05.2026
75449016,Sjenjak,61m2,9.0,3.0,,Nov,da,ne,377900.0,27.06.2026
79699317,Stupine,37.0,0.0,1.0,,Potrebna renovacija,da,ne,129400.0,09.09.2026
70043636,Bukinje,156m2,6.0,5.0,2025.0,Dobro stanje,da,ne,636 800,14.05.2026
75221413,Centar,56.0,9.0,3.0,2023.0,Nov,da,ne,381900.0,23.05.2026
75642314,Centar,54.0,1.0,2.5,1966.0,Renoviran,da,ne,425100.0,20.07.2026
79645811,simin han,86.0,10.0,3.0,,Nov,da,ne,212800.0,09.07.2026
70302099,Kreka,45.0,6.0,2.0,2010-2019,Useljivo,ne,ne,200800.0,11.05.2026
73634954,SLAVINOVIĆI,79.0,,3.0,2000.0,Namješten,da,da,435.300,11.07.2026
70581368,Brčanska Malta,154.0,5.0,5.0,1972.0,Dobro stanje,da,ne,647500.0,28.06.2026
71288773,Mejdan,59.0,8.0,2.0,1985.0,Nov,da,da,"345,000",03.08.2026
70688274,Centar,108.0,9.0,5.0,2021.0,Useljivo,da,ne,609.500 KM,16.04.2026
77257632,Bukinje,51.0,1.0,2.0,1965.0,Useljivo,ne,da,164800.0,09.04.2026
75031648,Slavinovići,54,4,2.0,1980 do 1989,Namješten,da,da,225000.0,13.03.2026
77131736,Irac - Tuzla,69.0,6.0,2.5,,Nov,da,ne,295.100,02.07.2026
72378353,Dragodol - Tuzla,44.0,Prizemlje,1.5,2004.0,Useljivo,da,ne,131900.0,08.04.2026
71803537,CENTAR,60.0,0.0,2.0,1979.0,Useljivo,da,ne,249300.0,25.08.2026
78300371,Centar,44.0,,2.0,,Dobro stanje,da,ne,298400.0,09.04.2026
72176285,Slavinovići - Tuzla,42.0,6.0,1.0,1991.0,Renoviran,da,ne,184500.0,18.04.2026
75568323,Centar,60.0,5.0,2.0,,Nenamješten,da,ne,339400.0,20.05.2026
71634292,Centar,70.0,,3.0,1993.0,Renoviran,ne,da,457900.0,04.05.2026
79918942,Centar,37.0,0.0,1.5,,Dobro stanje,da,ne,216900.0,03.09.2026
72015516,Simin Han,151.0,8.0,5.0,1989.0,Namješten,da,ne,390000.0,23.04.2026
79860296,Stupine,70.0,9.0,3.0,,Useljivo,da,da,331 800,08.07.2026
76390271,Slavinovići,45.0,7.0,1.5,,Renoviran,ne,ne,238 500,18.07.2026
74084776,Brčanska Malta,58.0,3.0,3.0,2015.0,Dobro stanje,ne,da,256300.0,06.07.2026
73025170,Dragodol,53.0,3.0,3.0,1970.0,Potrebna renovacija,da,da,151 000,30.05.2026
79000012,Gornja Tuzla,65.0,10.0,2.0,1988.0,Namješten,da,ne,197300.0,14.06.2026
73704596,Sjenjak - Tuzla,47.0,,1.5,1974.0,Dobro stanje,ne,ne,217800.0,07.04.2026
71619415,Centar,49.0,5.0,2.0,,Potrebna renovacija,ne,ne,187000.0,02.09.2026
73191324,Brčanska Malta,43.0,2.0,1.5,2024.0,Nov,da,ne,245900.0,27.05.2026
79000017,stupine,104.0,0.0,4.0,,Namješten,da,da,"531,100",21.06.2026
78072294,Kreka,40.0,8.0,1.0,1974.0,Useljivo,da,ne,"144,500",15.04.2026
72259519,Slavinovići,55.0,2.0,2.0,,Potrebna renovacija,da,da,206900.0,10.07.2026
73763767,Centar,39.0,6.0,1.0,1978.0,Dobro stanje,da,da,219700.0,10.04.2026
71085757,Stupine,50.0,3.0,2.0,1966.0,Namješten,ne,da,210800.0,22.07.2026
75283264,Kreka,77.0,1.0,2.5,,Potrebna renovacija,ne,ne,348.000 KM,05.05.2026
72099684,Kreka,66.0,1.0,2.0,2023.0,Namješten,da,ne,276600.0,04.05.2026
75482677,Šićki Brod,124.0,10.0,5.0,2016.0,Namješten,da,da,446800.0,14.05.2026
73084314,Bukinje,42.0,Prizemlje,1.0,,Useljivo,da,da,106100.0,09.08.2026
76046721,Centar,94.0,5.0,4.0,,Renoviran,da,ne,423000.0,21.06.2026
72287393,Dragodol,71.0,5.0,2.0,1967.0,Potrebna renovacija,da,da,248300.0,15.07.2026
79355138,Slavinovići,48.0,1.0,1.0,,Useljivo,da,ne,243700.0,08.06.2026
79000022, Slavinovići ,81.0,5.0,4.0,1998.0,Useljivo,da,ne,427300.0,13.06.2026
77737001,Stupine,80.0,9.0,3.0,2020.0,Useljivo,da,ne,333600.0,24.05.2026
77040322,Slavinovići,36.0,10.0,1.0,,Renoviran,da,da,201000.0,12.07.2026
75985595, Centar ,90.0,0.0,4.0,1986.0,Namješten,da,da,561400.0,22.08.2026
77412284,Brčanska Malta,44.0,5.0,2.0,,Renoviran,da,ne,"185,100",16.04.2026
73427136,Slavinovići,101.0,7.0,5.0,1990-1999,Dobro stanje,da,ne,499400.0,14.06.2026
73826532,Centar,117.0,6.0,5.0,1966.0,Useljivo,da,ne,555800.0,17.04.2026
71531742,Miladije,49.0,3.0,2.0,,Useljivo,da,ne,254800.0,27.06.2026
79000023,Centar,102.0,9.0,4.0,2012.0,Renoviran,da,ne,491900.0,19.07.2026
70725606,Bukinje,69.0,8.0,3.0,,Dobro stanje,ne,ne,248800.0,24.03.2026
77805251,Brčanska Malta,71.0,2.0,3.0,2021.0,Nenamješten,ne,da,354900.0,21.05.2026
77580210,Zlokovac,125.0,7.0,5.0,,Namješten,da,ne,567900.0,24.04.2026
76115435,Gornja Tuzla - Tuzla,68.0,8.0,3.0,,Useljivo,da,ne,221100.0,05.05.2026
72444785,Centar,55.0,4.0,2.0,,Useljivo,da,ne,303400.0,10.07.2026
71096558,Simin Han,97.0,9.0,5.0,,Renoviran,ne,ne,"402,300",18.04.2026
70362223,Slavinovići,59.0,4.0,2.5,1990 do 1999,Useljivo,da,ne,224200.0,08.08.2026
75842738,Stupine,67.0,2.0,2.0,1999.0,Nenamješten,ne,ne,369700.0,22.04.2026
72719480,Slavinovići,62.0,5.0,2.0,1988.0,Nov,da,ne,440100.0,21.05.2026
75512900,Centar - Tuzla,36.0,4.0,1.0,2013.0,Nov,da,da,282300.0,04.09.2026
77647566,Simin Han,52.0,3.0,1.5,2021.0,Renoviran,da,da,210500.0,05.09.2026
75192915,Stupine,76.0,,3.0,,Renoviran,da,ne,437 200,04.04.2026
77694075,Solina,33.0,,1.0,,Useljivo,ne,da,124.700 KM,14.08.2026
71633675, Zlokovac ,69.0,3.0,2.5,1965.0,Renoviran,da,da,277.400 KM,02.08.2026
74209116,Bukinje,73.0,2.0,3.0,1985.0,Useljivo,da,da,215900.0,08.05.2026
77960284,brčanska malta,87.0,2.0,3.0,2010-2019,Nenamješten,da,ne,362000.0,11.09.2026
74188595,Stupine,,8.0,3.0,,Renoviran,da,da,364100.0,22.05.2026
76738910,Mejdan,36.0,Prizemlje,1.0,1995.0,Renoviran,da,ne,207 700,04.08.2026
70903588,Centar,126.0,3.0,5.0,,Useljivo,da,da,610200.0,19.07.2026
74393500,Brčanska Malta,78.0,8.0,3.0,,Dobro stanje,da,ne,338300.0,18.08.2026
72296560,Mejdan,82.0,10.0,4.0,2012.0,Nenamješten,da,da,432900.0,17.08.2026
77360056,Mejdan,33.0,2.0,1.0,1990.0,Renoviran,da,ne,205.100,19.06.2026
72086453, Stupine ,107.0,3.0,5.0,2008.0,Namješten,da,ne,660700.0,27.04.2026
73304593,Kreka,99.0,5.0,4.0,1990-1999,Useljivo,da,da,436500.0,03.08.2026
76720513,Sjenjak,57.0,Prizemlje,2.0,2022.0,Namješten,da,ne,292.600,20.07.2026
73554887,Stupine,69.0,2.0,3.0,1984.0,Nov,da,ne,465 000,09.07.2026
74086007,Simin Han,86.0,1.0,4.0,,Useljivo,da,ne,204100.0,03.09.2026
74924628,gornja tuzla,112.0,5.0,5.0,,Potrebna renovacija,da,ne,305900.0,16.09.2026
70162304,Miladije - Tuzla,112.0,4.0,5.0,1992.0,Renoviran,da,da,779900.0,14.08.2026
73698677,Centar,83.0,4.0,3.0,2018.0,Namješten,da,ne,629000.0,18.07.2026
72968684,Zlokovac,,4.0,1.0,,Useljivo,da,da,121900.0,25.06.2026
74620879,Zlokovac,4,10.0,2.5,,Nov,ne,da,313700.0,20.05.2026
77598993,Centar,94.0,9.0,4.0,,Potrebna renovacija,ne,ne,357600.0,03.05.2026
72252973,Simin Han,52.0,5.0,1.5,2012.0,Useljivo,da,ne,157100.0,30.03.2026
79000015,Solina,46.0,10.0,1.5,1992.0,Dobro stanje,ne,ne,179.000 KM,25.08.2026
72670082,Simin Han,84.0,8.0,3.0,,Nenamješten,da,ne,233300.0,23.06.2026
71011919,Dragodol,66.0,10.0,3.0,1988.0,Useljivo,da,da,262800.0,10.07.2026
79290243,Stupine,55.0,10.0,2.0,,Namješten,da,ne,307700.0,21.04.2026
78929823,Slavinovići,71,2,3.0,,Nenamješten,da,da,312000.0,19.08.2026
79500001,,,,,,,,,,01.09.2026
77432230,Solina,74m2,1.0,3.0,1984.0,Nenamješten,ne,ne,230700.0,04.08.2026
79525109,Šićki Brod,66.0,5.0,2.5,1969.0,Dobro stanje,da,ne,192.900 KM,27.07.2026
71867461,Stupine,39.0,7.0,1.0,1975.0,Renoviran,da,ne,"214,400",11.06.2026
79000006,Centar,54.0,Prizemlje,1.5,1996.0,Nov,da,ne,365 600,27.03.2026
77174775,Centar,29.0,,1.0,1990-1999,Useljivo,ne,da,153800.0,15.07.2026
76837005,Sjenjak,75.0,1.0,3.0,2022.0,Dobro stanje,da,ne,376900.0,21.08.2026
74337789,Gornja Tuzla,78.0,7.0,2.5,,Nov,da,da,254700.0,10.09.2026
72280698,Bukinje,79.0,4.0,3.0,2020-2029,Namješten,ne,da,275200.0,18.06.2026
71612924,Irac,76.0,5.0,3.0,1992.0,Potrebna renovacija,da,ne,306300.0,08.08.2026
75619408,Irac,38.0,4.0,1.0,,Renoviran,da,ne,168000.0,21.08.2026
72748770,Mejdan,122.0,10.0,4.0,1967.0,Useljivo,ne,ne,519200.0,15.06.2026
71516636,Slavinovići,118.0,5.0,5.0,,Dobro stanje,ne,ne,495000.0,13.08.2026
76628641, Brčanska Malta ,75.0,4.0,3.0,1972.0,Nenamješten,da,da,371800.0,17.06.2026
74965648,Kreka,124.0,7.0,5.0,1999.0,Potrebna renovacija,da,da,511600.0,03.06.2026
78272337,Stupine,84.0,9.0,3.0,,Potrebna renovacija,da,ne,293400.0,23.05.2026
71744621,Stupine,40.0,6.0,2.0,,Renoviran,da,da,245100.0,18.04.2026
77456844,Mejdan,100.0,3.0,4.0,,Nenamješten,ne,ne,455900.0,28.05.2026
79000020,Slavinovići,128.0,10.0,5.0,1997.0,Nov,ne,ne,799300.0,22.07.2026
77647706,Kreka,61.0,,2.0,2011.0,Useljivo,da,ne,293900.0,29.08.2026
79900650,Slavinovići,36.0,8.0,1.0,,Renoviran,da,ne,195.600 KM,12.04.2026
76918469,Centar,116.0,8.0,5.0,,Useljivo,ne,ne,695300.0,07.09.2026
78494352,Mejdan,40.0,1.0,1.0,,Renoviran,da,ne,208400.0,16.05.2026
74683204,Kreka,79.0,1.0,2.5,1969.0,Renoviran,da,ne,459100.0,09.06.2026
77629029,Stupine,66.0,2.0,3.0,1979.0,Namješten,da,ne,308800.0,27.04.2026
75539333,Dragodol,27.0,10.0,1.0,2004.0,Useljivo,da,da,102100.0,23.07.2026
70262014,Gornja Tuzla,77.0,1.0,3.0,,Renoviran,da,ne,219600.0,15.05.2026
72573046,Bukinje,36.0,1.0,1.0,2024.0,Nov,da,ne,156600.0,22.03.2026
70255318,Irac,95.0,3.0,4.0,2003.0,Renoviran,da,da,407 900,16.06.2026
70056593,Centar,,2.0,1.0,,Nenamješten,ne,da,239 000,24.07.2026
71997622,Sjenjak,22.0,3.0,1.0,2017.0,Renoviran,ne,da,144100.0,09.07.2026
79956105,Sjenjak,103.0,1.0,5.0,,Useljivo,da,da,480100.0,06.04.2026
74325155,bukinje,30.0,4.0,1.0,,Potrebna renovacija,ne,da,84500.0,23.03.2026
77610990,Kreka,52.0,3.0,2.0,,Useljivo,da,ne,290100.0,07.05.2026
75425440,Solina,28.0,6.0,1.0,,Nov,da,ne,169700.0,28.04.2026
71293402,Simin Han,102.0,8.0,5.0,1970.0,Renoviran,da,ne,321900.0,03.08.2026
72889083,Centar,81.0,9.0,3.0,,Useljivo,ne,da,412900.0,05.08.2026
73281434,Solina,56.0,7.0,2.0,1986.0,Nov,da,ne,298200.0,02.05.2026
75427296,Slavinovići,30.0,4.0,1.0,,Nov,ne,ne,141900.0,09.08.2026
77339362,Stupine,34.0,5.0,1.0,1981.0,Renoviran,da,ne,193 700,21.03.2026
72543684,Miladije - Tuzla,47.0,0.0,2.0,,Namješten,da,ne,223400.0,17.06.2026
73147121,Stupine,58.0,3.0,2.0,2006.0,Dobro stanje,ne,ne,283500.0,31.08.2026
77696875,Centar,62.0,,3.0,1986.0,Useljivo,da,ne,301400.0,10.09.2026
77887462,Sjenjak,39.0,9.0,1.0,,Nenamješten,da,da,183000.0,23.06.2026
73437100,Šićki Brod,51.0,7.0,1.5,2008.0,Useljivo,da,da,167900.0,16.09.2026
72711378,Slavinovići,81.0,Prizemlje,3.0,1986.0,Namješten,ne,ne,360400.0,02.09.2026
74813753,Bukinje,88.0,7.0,3.0,2011.0,Nenamješten,da,da,299800.0,18.07.2026
76065320,Stupine,42.0,10.0,1.0,1979.0,Dobro stanje,da,ne,183500.0,08.08.2026
75897142,Kreka,70m2,3.0,3.0,1983.0,Nov,da,ne,410100.0,04.07.2026
75189303,Dragodol,88.0,5.0,4.0,1974.0,Dobro stanje,da,da,"349,100",01.08.2026
70409469,Stupine,57.0,,2.0,2020-2029,Nenamješten,da,ne,204900.0,26.07.2026
76587589,Mejdan,51.0,2.0,1.5,2001.0,Renoviran,da,ne,298300.0,03.06.2026
71153264,Slavinovići,62.0,4.0,2.0,1977.0,Namješten,ne,da,224500.0,08.09.2026
75569352,Centar,70.0,,2.0,1992.0,Dobro stanje,ne,da,380800.0,19.08.2026
78351608,Solina,56.0,3.0,2.0,1971.0,Useljivo,ne,ne,200 700,01.09.2026
70384718, Mejdan ,69.0,5.0,2.0,,Useljivo,da,ne,307900.0,07.09.2026
71741981,Sjenjak,75.0,,3.0,1984.0,Renoviran,da,da,427400.0,01.05.2026
70639725,Kreka,30.0,1.0,1.0,2021.0,Nenamješten,da,ne,151.900,22.06.2026
74368025,Dragodol,49.0,5.0,2.0,,Useljivo,da,ne,164300.0,04.09.2026
73488606,Solina,40.0,,1.0,,Useljivo,da,da,194600.0,07.07.2026
73307357,Gornja Tuzla,74.0,2.0,3.0,1980 do 1989,Potrebna renovacija,da,ne,"176,900",06.05.2026
75387497,Zlokovac,68.0,4.0,2.5,1990.0,Useljivo,da,ne,252200.0,09.08.2026
70603308,mejdan,73.0,6.0,3.0,1968.0,Nenamješten,da,ne,334100.0,11.05.2026
74861582,Centar,43.0,6.0,1.5,1968.0,Nenamješten,da,ne,256600.0,14.05.2026
74528675,MEJDAN,38.0,7.0,1.0,,Nov,ne,ne,259500.0,10.09.2026
77197824,Bukinje,73.0,3.0,2.5,2022.0,Nov,ne,ne,307800.0,21.08.2026
70337110,Kreka,109.0,1.0,3.0,2002.0,Potrebna renovacija,da,da,464700.0,15.09.2026
79948370,SOLINA,36.0,Prizemlje,1.0,1967.0,Potrebna renovacija,da,da,121.800,21.03.2026
70592048,Kreka,53.0,8.0,2.0,,Renoviran,da,ne,260.100,10.05.2026
73523787,Bukinje,74.0,,3.0,,Dobro stanje,da,ne,317300.0,23.04.2026
76560373,gornja tuzla,78.0,10.0,3.0,1983.0,Namješten,da,ne,160500.0,26.04.2026
70692255, Centar ,44.0,10.0,2.0,,Useljivo,ne,da,234900.0,27.08.2026
70570983,Šićki Brod,56.0,8.0,3.0,,Nenamješten,da,da,196300.0,21.08.2026
71363698,Centar,93.0,,5.0,,Useljivo,da,da,425900.0,16.05.2026
70705203,Slavinovići,68.0,4.0,2.0,1988.0,Dobro stanje,da,da,363 600,26.06.2026
73733835,Irac,40.0,4.0,2.0,,Nov,da,da,238100.0,19.08.2026
77323190,Slavinovići,84.0,9.0,3.0,,Dobro stanje,da,ne,362900.0,12.07.2026
75911437,Slavinovići,35.0,5.0,1.0,1972.0,Useljivo,da,da,145 700,02.07.2026
79970689,Zlokovac,41.0,9.0,1.0,2003.0,Nov,da,ne,193500.0,02.07.2026
78456426,Slavinovići,128.0,10.0,5.0,1997.0,Nov,ne,ne,799300.0,09.09.2026
79886037,Dragodol,41.0,10.0,1.0,,Nov,da,ne,187 900,19.04.2026
77627336,Šićki Brod,83.0,1.0,3.0,2000 do 2009,Potrebna renovacija,da,da,243600.0,04.05.2026
